Country,YearEduc
Afghanistan,0.4
Angola,2.8
Albania,9.4
United Arab Emirates,8.3
Argentina,10.1
Armenia,11.3
Antigua and Barbuda,12.2
Australia,11.5
Austria,11
Azerbaijan,11.3
Burundi,2
Belgium,11.9
Benin,1.6
Burkina Faso,0.8
Bangladesh,2.6
Bulgaria,12
Bahrain,7.8
Bahamas,10.8
Bosnia and Herzegovina,7.5
Belarus,11.7
Belize,8.3
Bolivia,6.7
Brazil,7.2
Botswana,6
Central African Republic,2.1
Canada,14.2
Switzerland,12.6
Chile,10.1
China,6.4
Cote d'Ivoire,2
Cameroon,4.2
"Congo, Dem. Rep.",4
"Congo, Rep.",5.3
Colombia,6.4
Comoros,2.3
Cape Verde,3.5
Costa Rica,8.6
Cuba,10.2
Cyprus,11.8
Czech Republic,13.3
Germany,12
Djibouti,1.8
Denmark,12.8
Dominican Republic,7.7
Algeria,4.2
Ecuador,8.1
Egypt,5.3
Eritrea,2.1
Spain,9
Estonia,11.7
Ethiopia,1
Finland,12.3
Fiji,9.2
France,10.5
Gabon,5.7
United Kingdom,13
Georgia,12.5
Ghana,5.2
Guinea,1
Gambia,2
Guinea-Bissau,1.1
Equatorial Guinea,4.5
Greece,10.1
Guatemala,3.9
Guyana,9.4
Honduras,5.7
Croatia,10.8
Haiti,3.4
Hungary,11.1
Indonesia,6.1
India,3.4
Ireland,11.5
Iran,5.1
Iraq,3.7
Israel,12.5
Italy,10.2
Jamaica,10.3
Jordan,8.6
Japan,12.2
Kazakhstan,11.9
Kenya,5.9
Kyrgyz Republic,11.4
Cambodia,3.2
Kiribati,9.2
South Korea,11.9
Kuwait,7
Lao,2.6
Lebanon,8.5
Liberia,2.2
St. Lucia,9.4
Sri Lanka,9.4
Lesotho,8.4
Lithuania,12.5
Luxembourg,11
Latvia,12.9
Morocco,2.5
Moldova,11.2
Madagascar,4.5
Maldives,3.4
Mexico,7.6
Marshall Islands,8.9
North Macedonia,9.6
Mali,0.8
Myanmar,4.6
Montenegro,10.6
Mongolia,9.2
Mozambique,1.7
Mauritania,1.5
Mauritius,8.1
Malawi,3.3
Malaysia,7.7
Namibia,6.9
Niger,0.6
Nigeria,4.1
Nicaragua,5.8
Netherlands,11.4
Norway,13.6
Nepal,1.3
New Zealand,12.3
Oman,5
Pakistan,2.4
Panama,9.7
Peru,8.3
Philippines,9.2
Papua New Guinea,3.2
Poland,12.4
Portugal,7.7
Paraguay,7.2
Palestine,7.9
Qatar,7.9
Romania,11.5
Russia,12.9
Rwanda,2.8
Saudi Arabia,5
Sudan,3.1
Senegal,1.5
Singapore,6.1
Solomon Islands,5
Sierra Leone,1.5
El Salvador,6.5
Somalia,1
Serbia,10
Sao Tome and Principe,3.8
Suriname,7.1
Slovak Republic,12.1
Slovenia,11.7
Sweden,12.8
Eswatini,7.3
Seychelles,11.7
Syria,5.1
Chad,0.7
Togo,2.3
Thailand,6.6
Tajikistan,10.4
Turkmenistan,10.8
Timor-Leste,2
Tonga,11.5
Trinidad and Tobago,9.7
Tunisia,4.5
Turkey,5.8
Taiwan,10.9
Tanzania,4
Uganda,3.7
Ukraine,12.2
Uruguay,10
United States,13.7
Uzbekistan,11.3
Venezuela,8.9
Vietnam,6.9
Vanuatu,6.3
Samoa,12
Yemen,0.7
South Africa,8.5
Zambia,5.2
Zimbabwe,6.7
