Country,TFR
Aruba,1.79
Afghanistan,4.04
Angola,5.41
Albania,1.7
Netherlands Antilles,1.82
United Arab Emirates,1.69
Argentina,2.23
Armenia,1.59
Antigua and Barbuda,2.01
Australia,1.81
Austria,1.54
Azerbaijan,2.01
Burundi,5.38
Belgium,1.81
Benin,4.7
Burkina Faso,5.03
Bangladesh,2
Bulgaria,1.62
Bahrain,1.94
Bahamas,1.74
Bosnia and Herzegovina,1.42
Belarus,1.73
Belize,2.38
Bolivia,2.73
Brazil,1.67
Barbados,1.8
Brunei,1.82
Bhutan,1.94
Botswana,2.56
Central African Republic,4.57
Canada,1.56
Channel Islands,1.5
Switzerland,1.56
Chile,1.75
China,1.65
Cote d'Ivoire,4.66
Cameroon,4.44
"Congo, Dem. Rep.",5.72
"Congo, Rep.",4.42
Colombia,1.78
Comoros,4.07
Cape Verde,2.2
Costa Rica,1.73
Cuba,1.72
Cyprus,1.33
Czech Republic,1.6
Germany,1.49
Djibouti,2.62
Denmark,1.77
Dominican Republic,2.31
Algeria,2.54
Ecuador,2.38
Egypt,3.06
Eritrea,3.86
Western Sahara,2.34
Spain,1.42
Estonia,1.69
Ethiopia,3.76
Finland,1.79
Fiji,2.42
France,1.97
"Micronesia, Fed. Sts.",2.97
Gabon,3.54
United Kingdom,1.87
Georgia,1.96
Ghana,3.76
Guinea,4.55
Guadeloupe,1.89
Gambia,5.14
Guinea-Bissau,4.34
Equatorial Guinea,4.34
Greece,1.3
Grenada,2.02
Guatemala,2.77
French Guiana,3.18
Guam,2.27
Guyana,2.41
"Hong Kong, China",1.38
Honduras,2.32
Croatia,1.44
Haiti,2.73
Hungary,1.43
Indonesia,2.26
India,2.24
Ireland,1.97
Iran,1.57
Iraq,4.14
Iceland,1.9
Israel,2.86
Italy,1.52
Jamaica,1.95
Jordan,3.12
Japan,1.51
Kazakhstan,2.51
Kenya,3.63
Kyrgyz Republic,2.82
Cambodia,2.45
Kiribati,3.49
South Korea,1.36
Kuwait,1.94
Lao,2.5
Lebanon,1.7
Liberia,4.32
Libya,2.13
St. Lucia,1.42
Sri Lanka,1.99
Lesotho,2.91
Lithuania,1.69
Luxembourg,1.61
Latvia,1.6
"Macao, China",1.41
Morocco,2.35
Moldova,1.23
Madagascar,3.97
Maldives,1.94
Mexico,2.07
North Macedonia,1.56
Mali,5.7
Malta,1.5
Myanmar,2.13
Montenegro,1.64
Mongolia,2.59
Mozambique,4.99
Mauritania,4.43
Martinique,1.86
Mauritius,1.42
Malawi,4.31
Malaysia,1.97
Mayotte,3.57
Namibia,3.19
New Caledonia,2.1
Niger,7
Nigeria,5.25
Nicaragua,2.09
Netherlands,1.76
Norway,1.83
Nepal,2
New Zealand,1.95
Oman,2.4
Pakistan,3.23
Panama,2.41
Peru,2.29
Philippines,2.81
Papua New Guinea,3.47
Poland,1.29
Puerto Rico,1.46
North Korea,1.87
Portugal,1.24
Paraguay,2.38
Palestine,3.75
French Polynesia,1.95
Qatar,1.83
Reunion,2.22
Romania,1.56
Russia,1.77
Rwanda,3.6
Saudi Arabia,2.38
Sudan,4.29
Senegal,4.49
Singapore,1.27
Solomon Islands,3.64
Sierra Leone,4.08
El Salvador,2
Somalia,5.89
Serbia,1.63
South Sudan,4.54
Sao Tome and Principe,4.22
Suriname,2.28
Slovak Republic,1.49
Slovenia,1.66
Sweden,1.91
Eswatini,2.89
Seychelles,2.2
Syria,2.73
Chad,5.55
Togo,4.2
Thailand,1.43
Tajikistan,3.18
Turkmenistan,2.7
Timor-Leste,5.06
Tonga,3.48
Trinidad and Tobago,1.71
Tunisia,2.1
Turkey,1.98
Taiwan,1.25
Tanzania,4.77
Uganda,5.24
Ukraine,1.59
Uruguay,1.95
United States,1.89
Uzbekistan,2.18
St. Vincent and the Grenadines,1.85
Venezuela,2.23
Virgin Islands (U.S.),2.13
Vietnam,1.94
Vanuatu,3.14
Samoa,3.78
Yemen,3.61
South Africa,2.35
Zambia,4.76
Zimbabwe,3.47
